0:0:0:0:0:0:0:1 - - [28/Oct/2023:09:21:16 +0900] "GET /Project4/icon/%EB%A1%9C%EA%B7%B8%EC%9D%B8.png HTTP/1.1" 200 527
0:0:0:0:0:0:0:1 - - [28/Oct/2023:09:21:16 +0900] "GET /Project4/img/z%ED%8F%B4%EB%93%9C5.jpg HTTP/1.1" 200 51464
0:0:0:0:0:0:0:1 - - [28/Oct/2023:09:21:16 +0900] "GET /Project4/img/z%ED%94%8C%EB%A6%BD5.jpg HTTP/1.1" 200 50763
0:0:0:0:0:0:0:1 - - [28/Oct/2023:09:21:16 +0900] "GET /Project4/img/%EC%95%84%EC%9D%B4%ED%8F%B014%ED%94%84%EB%A1%9C%EB%A7%A5%EC%8A%A4.jpg HTTP/1.1" 200 48024
0:0:0:0:0:0:0:1 - - [28/Oct/2023:09:21:16 +0900] "GET /Project4/icon/%EA%B2%80%EC%83%89.png HTTP/1.1" 200 569
0:0:0:0:0:0:0:1 - - [28/Oct/2023:09:21:16 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Oct/2023:09:21:18 +0900] "GET /Project4/main.jsp HTTP/1.1" 200 11017
0:0:0:0:0:0:0:1 - - [28/Oct/2023:09:21:18 +0900] "GET /Project4/img/%EB%B0%B0%EB%84%881.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2023:09:21:18 +0900] "GET /Project4/img/%EB%B0%B0%EB%84%882.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2023:09:21:18 +0900] "GET /Project4/img/%EB%B0%B0%EB%84%883.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2023:09:21:18 +0900] "GET /Project4/img/%EB%B0%B0%EB%84%884.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2023:09:21:18 +0900] "GET /Project4/img/footer_top_content.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2023:09:21:22 +0900] "GET /Project4/board/Purchase.jsp HTTP/1.1" 200 43268
